,IncidentDate,Borough,counts
311,2022-04-10,Hackney,14
312,2022-04-10,Hammersmith and Fulham,7
313,2022-04-10,Haringey,13
314,2022-04-10,Harrow,5
315,2022-04-10,Havering,8
316,2022-04-10,Hillingdon,4
317,2022-04-10,Hounslow,12
318,2022-04-10,Islington,9
319,2022-04-10,Kensington and Chelsea,2
320,2022-04-10,Kingston upon Thames,2
321,2022-04-10,Lambeth,30
322,2022-04-10,Lewisham,8
323,2022-04-10,Merton,2
324,2022-04-10,Newham,23
325,2022-04-10,Out of force,2
326,2022-04-10,Redbridge,4
327,2022-04-10,Richmond upon Thames,2
328,2022-04-10,Southwark,11
329,2022-04-10,Sutton,1
330,2022-04-10,Tower Hamlets,7
331,2022-04-10,Waltham Forest,16
332,2022-04-10,Wandsworth,9
333,2022-04-11,Barking and Dagenham,5
334,2022-04-11,Barnet,6
335,2022-04-11,Bexley,5
336,2022-04-11,Brent,15
337,2022-04-11,Bromley,13
338,2022-04-11,Camden,10
339,2022-04-11,City of Westminster,30
340,2022-04-11,Croydon,21
341,2022-04-11,Ealing,12
342,2022-04-11,Enfield,7
343,2022-04-11,Greenwich,10
344,2022-04-11,Hackney,8
345,2022-04-11,Hammersmith and Fulham,6
346,2022-04-11,Haringey,16
347,2022-04-11,Harrow,8
348,2022-04-11,Havering,6
349,2022-04-11,Heathrow,2
350,2022-04-11,Hillingdon,5
351,2022-04-11,Hounslow,13
352,2022-04-11,Islington,4
353,2022-04-11,Kensington and Chelsea,6
354,2022-04-11,Kingston upon Thames,1
355,2022-04-11,Lambeth,21
356,2022-04-11,Lewisham,18
357,2022-04-11,Merton,9
358,2022-04-11,Newham,18
359,2022-04-11,Redbridge,8
360,2022-04-11,Richmond upon Thames,3
361,2022-04-11,Southwark,8
362,2022-04-11,Sutton,4
363,2022-04-11,Tower Hamlets,10
364,2022-04-11,Waltham Forest,8
365,2022-04-11,Wandsworth,8
366,2022-04-12,Barking and Dagenham,6
367,2022-04-12,Barnet,10
